siren,siret,denominationUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse pr�cise
493158042,49315804200033,,,96.02B,,1,,,,RUE,LOUIS BLERIOT,33380,MARCHEPRIME,,,33555,,,,,335550185_B,394752.4374044612,6407307.274611602,,A,DOMI ESTHETIQUE A DOMICILE,,96.02B,1 RUE LOUIS BLERIOT 33380 MARCHEPRIME
493376230,49337623000022,,,96.02B,,14,,,,RUE,DES MARRONNIERS,33620,SAINT-MARIENS,,,33439,,,,,334390200_B,432694.73191532656,6451519.903397008,,A,,,96.02B,14 RUE DES MARRONNIERS 33620 SAINT-MARIENS
493553572,49355357200014,STYL EPIL,,96.02B,,1,,,,AVENUE,DU MEDOC,33320,EYSINES,,,33162,,,,,331620412_B,413504.9627919116,6426868.284318786,,A,EPIL STORY,,96.02B,1 AVENUE DU MEDOC 33320 EYSINES
494407307,49440730700037,,,96.02B,,14,,,,ALLEE,DES BRUYERES,33470,GUJAN-MESTRAS,,,33199,,,,,331990100_B,373950.707471144,6401606.338235359,,A,,LE COIN DES FILLES,96.02B,14 ALLEE DES BRUYERES 33470 GUJAN-MESTRAS
494557192,49455719200023,,,96.02B,,5,,,,COURS,DES GIRONDINS,33500,LIBOURNE,,,33243,,,,,332430610_B,443782.69654824375,6428990.7288429,,A,,ELITE BEAUTE,96.02B,5 COURS DES GIRONDINS 33500 LIBOURNE
494742513,49474251300026,SARL ALYONA,,96.02B,,24,,,,ALLEES,JEAN JAURES,33210,LANGON,,,33227,,,,,332270766_B,442295.43790404766,6389043.269227906,,A,,,96.02B,24 ALLEES JEAN JAURES 33210 LANGON
494838774,49483877400037,[ND],[ND],96.02B,[ND],[ND],[ND],[ND],[ND],[ND],[ND],[ND],LE BOUSCAT,,[ND],33069,[ND],[ND],,,[ND],[ND],[ND],,A,[ND],[ND],96.02B, LE BOUSCAT
494875842,49487584200010,EDEN OF BEAUTY,,96.02B,,10,,,,RUE,DE GUIENNE,33000,BORDEAUX,,,33063,,,,,330634240_B,417805.9364908853,6421525.821260223,,A,,,96.02B,10 RUE DE GUIENNE 33000 BORDEAUX
494960578,49496057800016,LOLA-MAEVA ESTHETIQUE,,96.02B,,45,,,,AV,DE LA LIBERATION,33110,LE BOUSCAT,,,33069,,,,,330691080_C,,,,A,EPILEA,,96.02B,45 AV DE LA LIBERATION 33110 LE BOUSCAT
497598557,49759855700013,PERMIS DE BRONZER,,96.02B,,20,,,,RUE,DOCTEUR CHARLES NANCEL PENARD,33000,BORDEAUX,,,33063,,,,,330632710_B,417101.90602981974,6422045.052346199,,A,SKIN INNOVATION,SKIN INNOVATION,96.02B,20 RUE DOCTEUR CHARLES NANCEL PENARD 33000 BORDEAUX
497611525,49761152500021,,,96.02B,RESIDENCE LES GOELETTES APPT 2,4,,,,RUE,DES MOINEAUX,33250,PAUILLAC,,,33314,,,,,333145082_C,,,,A,,L'ATELIER DU BIEN ETRE,96.02B,RESIDENCE LES GOELETTES APPT 2 4 RUE DES MOINEAUX 33250 PAUILLAC
497921163,49792116300018,,,96.02B,,9,,,,PLACE,BRANLY,33130,BEGLES,,,33039,,,,,330390360_B,418128.47277510684,6418926.417285596,,A,LE MIROIR AUX DAMES,,96.02B,9 PLACE BRANLY 33130 BEGLES
498602291,49860229100011,SANTA PAOLA,,96.02B,,7,,,,COURS,SAINT LOUIS,33300,BORDEAUX,,,33063,,,,,330638285_B,417931.7544677265,6423753.252696361,,A,,,96.02B,7 COURS SAINT LOUIS 33300 BORDEAUX
498630201,49863020100024,,,96.02B,,29,,,,CHEMIN,DES MOULINS,33410,RIONS,,,33355,,,,,333550034_B,434936.4935644958,6402504.250832404,,A,,VERO'NAILS,96.02B,29 CHEMIN DES MOULINS 33410 RIONS
498725332,49872533200031,,,96.02B,,32,,,,RUE,CABOY,33110,LE BOUSCAT,,,33069,,,,,330690315_B,415293.1248456704,6424685.341409646,,A,,AGATHE CAILLAULT,96.02B,32 RUE CABOY 33110 LE BOUSCAT
498878651,49887865100054,,,96.02B,9 BIS,9,,,,CHEMIN,DU PUJEAU DE LA VIGNE,33770,SALLES,,,33498,,,,,334980213_B,391829.0752215634,6394257.799177663,,A,,ELYNNA,96.02B,9 BIS 9 CHEMIN DU PUJEAU DE LA VIGNE 33770 SALLES
499131209,49913120900029,,,96.02B,,7,,,,RUE,DES PORTES DU PYLA,33260,LA TESTE-DE-BUCH,,,33529,,,,,335292608_B,369422.98577431194,6401366.72933437,,A,SIDONIE,,96.02B,7 RUE DES PORTES DU PYLA 33260 LA TESTE-DE-BUCH
499157030,49915703000010,,,96.02B,,16,,,,PLACE,DE LA REPUBLIQUE,33440,AMBARES-ET-LAGRAVE,,,33003,,,,,330030480_B,424825.2834573234,6431342.61248412,,A,BEAUTE CARAIBES,,96.02B,16 PLACE DE LA REPUBLIQUE 33440 AMBARES-ET-LAGRAVE
