siren,siret,denominationUniteLegale,denominationUsuelle1UniteLegale,activitePrincipaleUniteLegale,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,dernierNumeroVoieEtablissement,indiceRepetitionDernierNumeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,identifiantAdresseEtablissement,coordonneeLambertAbscisseEtablissement,coordonneeLambertOrdonneeEtablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,Adresse précise
539376731,53937673100029,,,96.02A,,99,,,,ROUTE,D'ANGOULEME,24300,JAVERLHAC-ET-LA-CHAPELLE-SAINT-ROBERT,,,24214,,,,,242140001_B,509668.75,6499645.82,,A,,LE PETIT COIFFEUR,96.02A,99 ROUTE D'ANGOULEME 24300 JAVERLHAC-ET-LA-CHAPELLE-SAINT-ROBERT
539506287,53950628700033,,,96.02A,,,,,,PLACE,DU CHATEAU,24630,JUMILHAC-LE-GRAND,,,24218,,,,,242180020_B,548557.0831423593,6490068.046250791,,A,,HISTOIRE DE PL HAIR,96.02A, PLACE DU CHATEAU 24630 JUMILHAC-LE-GRAND
539506287,53950628700041,,,96.02A,,1,,,,PLACE,DU MONT CARMEL,24450,MIALET,,,24269,,,,,242690065_B,536558.1832726356,6496594.733092204,,A,,,96.02A,1 PLACE DU MONT CARMEL 24450 MIALET
539800904,53980090400010,,,96.02A,,41,,,,PLACE,DE ANS,24640,CUBJAC-AUVEZERE-VAL D'ANS,,,24147,,,,,24147t6wy_B,542695.64,6462275.23,,A,,LA LOUVE D ANS,96.02A,41 PLACE DE ANS 24640 CUBJAC-AUVEZERE-VAL D'ANS
556810943,55681094300028,,,96.02A,,34,,,,AVENUE,ARISTIDE BRIAND,24100,BERGERAC,,,24037,,,,,240370250_B,500378.02127517154,6420228.908160007,,A,,DJF COIFFURE,96.02A,34 AVENUE ARISTIDE BRIAND 24100 BERGERAC
751051533,75105153300014,MJ COIFFURE,,96.02A,,13,,,,RUE,DE L'ENGIN,24500,EYMET,,,24167,,,,,241670045_B,493671.31303194637,6399795.211141638,,A,,,96.02A,13 RUE DE L'ENGIN 24500 EYMET
751444183,75144418300014,,,96.02A,,121,,,,RUE,PIERRE SEMARD,24000,PERIGUEUX,,,24322,,,,,243223100_B,519483.41443416337,6457919.998711237,,A,INSPIRATION,,96.02A,121 RUE PIERRE SEMARD 24000 PERIGUEUX
751622499,75162249900018,,,96.02A,,2,,,,RUE,GAMBETTA,24310,BRANTOME EN PERIGORD,,,24064,,,,,,,,,A,,EIRL JULIE QUILLET ABSOLUT COIFFURE,96.02A,2 RUE GAMBETTA 24310 BRANTOME EN PERIGORD
751798828,75179882800016,,,96.02A,,111,,,,ROUTE,DE LIMOGES,24420,ANTONNE-ET-TRIGONANT,,,24011,,,,,240110122_B,532049.9617182885,6460493.323305727,,A,,MECHA DE LUZ,96.02A,111 ROUTE DE LIMOGES 24420 ANTONNE-ET-TRIGONANT
751855362,75185536200016,L HAIR DU TEMPS,,96.02A,,40,,,,ROUTE,DE SAINT-GERMAIN,24520,COURS-DE-PILE,,,24140,,,,,241400088_B,506144.2704208512,6418802.0556098055,,A,,,96.02A,40 ROUTE DE SAINT-GERMAIN 24520 COURS-DE-PILE
752235499,75223549900015,,,96.02A,,11,,,,RUE,DES ECOLES,24610,SAINT-MARTIN-DE-GURSON,,,24454,,,,,244540016_B,472126.039516089,6432187.105869524,,A,COIFFURE AUDREY,,96.02A,11 RUE DES ECOLES 24610 SAINT-MARTIN-DE-GURSON
752723957,75272395700029,,,96.02A,,12,,,,RUE,DU GOUVERNEUR GENERAL COURNARIE,24120,TERRASSON-LAVILLEDIEU,,,24547,,,,,245470151_B,566551.5302553743,6449242.166071051,,A,DAVID OLIVIER COIFFURE,,96.02A,12 RUE DU GOUVERNEUR GENERAL COURNARIE 24120 TERRASSON-LAVILLEDIEU
753376540,75337654000013,,,96.02A,,,,,,,LES GRAVIERES,24220,SAINT-VINCENT-DE-COSSE,,,24510,,,,,,,,,A,ELISABETH COIFFEUSE A DOMICILE,,96.02A, LES GRAVIERES 24220 SAINT-VINCENT-DE-COSSE
753628569,75362856900018,,,96.02A,,4,,,,ROUTE,DES TOURTERELLES,24100,SAINT-LAURENT-DES-VIGNES,,,24437,,,,,244370125_B,498120.4568758218,6418110.585230192,,A,,C&B  COIFFURE ET BEAUTE,96.02A,4 ROUTE DES TOURTERELLES 24100 SAINT-LAURENT-DES-VIGNES
753655380,75365538000016,,,96.02A,,59,,,,,DOMAINE DE LA GORCE,24460,CHATEAU L'EVEQUE,,,24115,,,,,,,,,A,,,96.02A,59 DOMAINE DE LA GORCE 24460 CHATEAU L'EVEQUE
775762354,77576235400014,,,96.02A,,21,,,,RUE,DES ALLIES,24360,PIEGUT-PLUVIERS,,,24328,,,,,243280010_B,519917.67950100126,6505265.7687771665,,A,,,96.02A,21 RUE DES ALLIES 24360 PIEGUT-PLUVIERS
781684865,78168486500038,,,96.02A,,46,,,,RUE,DE LA LIBERATION,24400,MUSSIDAN,,,24299,,,,,242990155_B,492705.94349801296,6440995.30478831,,A,,,96.02A,46 RUE DE LA LIBERATION 24400 MUSSIDAN
788817534,78881753400019,,,96.02A,,12,,,,RUE,DU TEMPLE,24500,EYMET,,,24167,,,,,241670175_B,493690.7920523332,6399808.683170611,,A,TWELVE,,96.02A,12 RUE DU TEMPLE 24500 EYMET
788901726,78890172600075,,,96.02A,,3,,,,PLACE,JEAN MOULIN,24440,BEAUMONTOIS EN PERIGORD,,,24028,,,,,240280022_B,523396.65,6410250.34,,A,EI BOUILLON SEVERINE,SEVERINE COIFFEUSE ENERGETIQUE,96.02A,3 PLACE JEAN MOULIN 24440 BEAUMONTOIS EN PERIGORD
788993301,78899330100019,,,96.02A,,,,,,,LE BOURG DE ST VIVIEN,24310,PAUSSAC-ET-SAINT-VIVIEN,,,24319,,,,,,,,,A,,,96.02A, LE BOURG DE ST VIVIEN 24310 PAUSSAC-ET-SAINT-VIVIEN
789500709,78950070900025,,,96.02A,,21,B,,,PLACE,DU GENERAL DE GAULLE,24600,RIBERAC,,,24352,,,,,243520480_B,491308.57,6464486.95,,A,,STUDIO 22,96.02A,"21, B PLACE DU GENERAL DE GAULLE 24600 RIBERAC"
